order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-10432,2022-01-01,2022,Q1,1,January,North America,Mexico,Office Supplies,Pens & Pencils,Corporate,8,27.91,223.28,112.75,110.53,49.5
ORD-10639,2022-01-01,2022,Q1,1,January,Europe,United Kingdom,Clothing,Jackets,Consumer,10,204.79,2047.9,932.38,1115.52,54.47
ORD-19770,2022-01-01,2022,Q1,1,January,Europe,Italy,Furniture,Desks,Consumer,5,276.73,1383.65,934.24,449.41,32.48
ORD-16222,2022-01-01,2022,Q1,1,January,Latin America,Brazil,Office Supplies,Paper & Notebooks,Consumer,10,45.38,453.8,235.03,218.77,48.21
ORD-17210,2022-01-01,2022,Q1,1,January,North America,Mexico,Clothing,Accessories,Corporate,2,40.36,80.72,37.87,42.85,53.08
ORD-15295,2022-01-01,2022,Q1,1,January,Latin America,Brazil,Electronics,Headphones,Consumer,4,136.09,544.36,431.31,113.05,20.77
ORD-11779,2022-01-01,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Printer Supplies,Consumer,3,92.32,276.96,165.43,111.53,40.27
ORD-15153,2022-01-01,2022,Q1,1,January,North America,United States,Furniture,Office Chairs,Consumer,7,642.24,4495.68,2927.45,1568.23,34.88
ORD-17129,2022-01-01,2022,Q1,1,January,Europe,United Kingdom,Electronics,Smartphones,Consumer,6,520.92,3125.52,2531.33,594.19,19.01
ORD-13058,2022-01-01,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Shirts,Corporate,7,112.35,786.45,354.58,431.87,54.91
ORD-14919,2022-01-01,2022,Q1,1,January,Latin America,Brazil,Clothing,Pants,Home Office,1,132.61,132.61,53.91,78.7,59.35
ORD-12476,2022-01-02,2022,Q1,1,January,Latin America,Colombia,Electronics,Headphones,Consumer,6,311.86,1871.16,1412.06,459.1,24.54
ORD-10550,2022-01-02,2022,Q1,1,January,Latin America,Argentina,Electronics,Monitors,Home Office,10,714.1,7141.0,5756.51,1384.49,19.39
ORD-19480,2022-01-02,2022,Q1,1,January,Latin America,Colombia,Clothing,Jackets,Home Office,9,122.47,1102.23,525.55,576.68,52.32
ORD-12248,2022-01-02,2022,Q1,1,January,North America,Canada,Furniture,Storage,Corporate,9,221.52,1993.68,1299.79,693.89,34.8
ORD-12262,2022-01-02,2022,Q1,1,January,North America,United States,Furniture,Desks,Consumer,4,401.13,1604.52,1008.14,596.38,37.17
ORD-18632,2022-01-02,2022,Q1,1,January,Latin America,Chile,Electronics,Monitors,Home Office,8,761.99,6095.92,4952.32,1143.6,18.76
ORD-15784,2022-01-02,2022,Q1,1,January,North America,United States,Furniture,Storage,Consumer,2,284.43,568.86,353.13,215.73,37.92
ORD-18967,2022-01-02,2022,Q1,1,January,Latin America,Argentina,Furniture,Office Chairs,Home Office,6,487.4,2924.4,2010.83,913.57,31.24
ORD-19633,2022-01-02,2022,Q1,1,January,Latin America,Colombia,Furniture,Storage,Home Office,2,377.49,754.98,517.41,237.57,31.47
